ID,"Investor Name","Investor Type","Investor Country","Found Domain",Website,"Search Strategy",Status
943,"Siemens Pension Trust e.V.",Pension,Germany,fintool.com,https://www.fintool.com,duckduckgo_search,FOUND
944,"Pension Fund Association (PFA Japan)","Pension - Private Non-ERISA",Japan,pfa.or.jp,https://www.pfa.or.jp,duckduckgo_search,FOUND
945,Freemont,"Family Office",Switzerland,freemont.com,,duckduckgo_search,FOUND
946,"Pension Protection Fund (PPF)",Pension,GB,ppf.co.uk,https://www.ppf.co.uk,duckduckgo_search,FOUND
947,"Odysseus Capital Management","Individual (HNW)",GB,buttmiller.co.uk,https://www.buttmiller.co.uk,duckduckgo_search,FOUND
948,"GI Capital Management","Fund of Funds",Japan,green-innovation.nedo.go.jp,https://green-innovation.nedo.go.jp,duckduckgo_search,FOUND
949,"HSBC Private Bank","Bank/Financial Institution","GB,CH",privatebanking.hsbc.com,https://www.privatebanking.hsbc.com,duckduckgo_search,FOUND
950,"LCP Consulting",Consultant,GB,uk.linkedin.com,http://uk.linkedin.com,duckduckgo_search,FOUND
951,"University of Florida Investment Corporation","Non-Profit - Endowment",US,,,not_found,NOT_FOUND
952,"United Auto Workers (UAW) Retiree Medical Benefits Trust","Pension - Private Non-ERISA",US,uawtrust.org,,duckduckgo_search,FOUND
953,Fulcrum,"Fund of Funds",GB,fulcrum.com,https://www.fulcrum.com,direct_website,FOUND
954,"Just Retirement",Insurer,GB,justretirement.com,https://www.justretirement.com,direct_website,FOUND
956,"Fairfax County Police Officers Retirement System","Pension - Private Non-ERISA",US,fairfaxcounty.gov,https://www.fairfaxcounty.gov,duckduckgo_search,FOUND
957,"Northrop Grumman Pension Plan","Pension - Private Non-ERISA",US,theretirementgroup.com,https://www.theretirementgroup.com,duckduckgo_search,FOUND
958,"Missouri State Employees Retirement System (MOSERS)","Domestic Pension - ERISA",US,mosers.org,https://www.mosers.org,duckduckgo_search,FOUND
959,"Loma Linda University Health","Non-Profit - Other",US,lomalindauniversityhealth.org,https://www.lomalindauniversityhealth.org,direct_website,FOUND
961,"Ascension Investment Management","Non-Profit - Other",US,nationalnursesunited.org,https://www.nationalnursesunited.org,duckduckgo_search,FOUND
962,"State of Wisconsin Investment Board (SWIB)","Pension - Private Non-ERISA",US,swib.state.wi.us,https://www.swib.state.wi.us,duckduckgo_search,FOUND
